target_id	tpm01	tpm02	tpm03	tpm04	tpm05	tpm06	tpm07	tpm08	tpm09	tpm10	tpm11	tpm12	tpm13	tpm14	tpm15
MSTRG.15874	6.91546	7.09823	6.69887	4.88913	2.45939	5.57386	11.1787	10.9976	19.0254	27.8244	22.9272	17.9483	10.8713	2.13696	2.48329
MSTRG.13027	0.691186	0.940758	0.91088	3.373695001	2.350785	3.656517	7.082264	7.091498	8.3795746	17.163285	12.496204	9.704597264	14.769981	25.856848	25.3203
MSTRG.15152	16.1544	17.9914	16.4033	0.882353	1.01976	0.414926	9.36841	16.8523	9.82742	7.86453	4.82372	2.90375	7.08826	0.509476	0.280742
MSTRG.3725	9.71833	10.3781	10.0191	3.49005	2.21446	2.81931	4.49448	7.0142	7.08727	7.56225	7.40206	7.87236	10.5284	7.04418	7.07133
MSTRG.14724	1.12988	1.07096	1.0760587	6.18318	6.4523	9.265319	4.753838	6.733047	9.45497	13.58184	13.82052	10.92304	7.07748	11.4378	11.2846731
MSTRG.11241	0	0.000000444	0	13.6842	9.80996	11.2376	7.07601	0	8.39096	20.3515	16.2886	20.2709	1.32613	0.942694	0.00717745
MSTRG.1952	4.4184133	4.9451903	4.8166639	4.541985	2.949027741	4.038952	9.359365	6.306288	17.605789	9.712952	18.967237	7.074418	9.7053007	18.1803962	19.802155
MSTRG.1718	10.0756	13.7733	8.55463	0.900588	0.167074	0.0749476	0.674922	6.59167	24.1925	7.07424	17.2728	4.70709	5.49519	33.6823	32.3012
MSTRG.9660	7.07305	7.80516	6.16126	4.61425	4.28792	3.528	7.1718	10.2316	9.96419	5.11369	7.99581	3.95746	2.42658	16.8989	15.8754
MSTRG.1472	0.461959	0.752118	0.297669	6.64877	3.58711	8.44671	7.0717	4.41072	8.46821	9.98055	10.6195	5.66602	15.445	11.6303	10.5987
MSTRG.7975	5.2125	2.53385	3.06511	7.0695	15.0192	12.6086	11.0977	32.1413	11.1587	6.98516	10.1422	12.101	2.05109	0	0
MSTRG.3869	8.643	8.53604	8.3776	4.71191	14.5034126	7.47015	9.687234	14.777507	0.398736	0.396446	0.469374	0.5990813	2.3227134	6.32861	7.06701
MSTRG.9284	6.88183	7.06391	6.933707	5.054202	3.620811	6.338089	18.848966	15.39324	43.4112	48.917464	31.58309	18.493001	16.32845	2.06377	1.61688
MSTRG.17872	10.409	10.9818	11.3349	5.23205	4.29736	4.93806	3.1135	7.18331	6.52954	7.98223	7.06235	5.43579	5.29701	7.63792	8.1672
MSTRG.8514	5.827148	6.196844	5.812957	8.673543	6.943585147	9.4763449	6.470637	7.058491	5.6180062	10.568193	7.2201597	8.2157811	7.0399419	10.24499093	10.55041872
MSTRG.13601	10.4485	12.0451	10.0385	1.99949	0.443071	1.02858	1.98145	2.50215	3.51484	7.05638	8.8515	5.73562	7.12895	9.36576	15.2744
MSTRG.9451	6.26731601	7.054572	6.395055	3.624626	2.444333	3.695986	6.0511861	4.6905307	17.459311	12.207681	18.778074	11.13316	12.365358	11.844057	11.685863
MSTRG.20119	39.0626	37.0677	38.6646	4.67043	4.84772	5.28022	11.5861	15.0475	6.3535	6.31848	8.18503	7.05132	22.4696	1.50164	1.27347
MSTRG.15892	10.3877	10.1592	10.492	9.20957	3.96182	7.04818	16.7397	11.1318	5.37547	6.51574	7.15777	6.3168	4.50315	0.853493	0.90129
MSTRG.17540	7.04779	8.80382	6.35415	0.555884	0.55894	0.32923	3.61953	7.56971	19.4859	8.26721	15.6332	6.23266	7.04576	13.7869	12.9312
MSTRG.5359	10.767093	10.50295	10.921141	3.189108	2.959103	3.3012	6.116829	6.44081	4.757323	7.737958	7.22394	5.557892	7.046573	29.322288	29.40248
MSTRG.2092	6.5125028	7.587313	7.29317	5.923830109	5.4910787	9.774338	8.6088917	5.675433	3.7602569	7.045745	3.8502888	3.6034115	22.0225544	13.219178	13.021371
MSTRG.18635	4.46005	4.87442	4.952	5.42716	4.24157	7.09157	7.96773	5.22213	14.9428	22.0994	15.9119	16.3541	7.66025	6.71749	7.04363
MSTRG.8743	2.48767	3.44219	2.78218	5.45393	5.44058	7.04344	10.0408	7.27935	5.47367	8.64736	7.3884	6.02818	13.4583	16.9847	18.2379
MSTRG.16679	13.4727	14.996	14.3929	4.0579	3.526177	6.043372	8.134009	10.038721	4.46299	7.699875	5.99727	7.5333691	7.0431188	5.2321	4.85732
MSTRG.8387	4.332	4.92922	4.64698	9.14812	8.19829	7.04142	1.40108	3.13682	113.015	32.4776	69.1893	19.1748	13.6502	3.68022	3.30258
MSTRG.9927	1.73913	1.89362	1.30324	10.4529	7.03827	12.5863	12.1581	0.313687	4.5069	32.8029	27.2579	20.4468	18.7546	0.254341	0.548524
MSTRG.6398	5.7664032	6.2311792	6.8414561	5.027878	3.912627	4.654587	6.454891	7.03611	9.82295	12.96419001	11.24167	8.23350285	9.259485	14.503055	14.223472
MSTRG.4061	6.56134	6.16879	5.56524	8.47332	4.98437	5.8256	3.51475	9.99629	12.7393	7.94046	9.066	7.02536	6.11551	15.0523	14.8771
MSTRG.16377	0.659412	0.61188084	0.660140976	7.025046	6.168078	6.78628	22.125419	10.11490007	18.1129945	16.589098	23.297089	9.41391	33.282742	6.842162	6.803651
MSTRG.19856	32.1247	36.1663	28.1905	7.50602	8.12915	7.01311	0.230185	0	2.85597	2.6105	4.72221	2.51346	0.00118185	51.3127	57.6683
MSTRG.4602	2.777847	2.306344	2.40609	8.70402	5.64347	6.41201	4.7391	7.55102	12.99047	11.75496	12.69557	11.89379	10.42229	7.00225	7.00625
