target_id	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm
KWMTBOMO08399.mrna1	3230.61	2991.98	2082.99	2799.93	1136.48	877.853	836.981	831.984	1991.2	2091.77	1988.18	3695.59	3728.21	3428.19	3663.49	4112.41
KWMTBOMO12018.mrna1	3704.39	2676.82	2230.44	2644.08	1358.52	699.451	665.229	659.171	1687.86	1727.68	1674.48	3338.73	3045.71	3001.8	3124.49	3308.26
KWMTBOMO09300.mrna1	2724.49	3333.72	1964.52	2853.85	1724.52	482.51	496.201	501.118	1911.77	2074.52	2132.13	4751.95	4274.24	4136.23	4788.26	4629.51
KWMTBOMO10248.mrna1	3191.51	3059.48	2053.1	2783.05	1069.19	386.887	367.08	365.796	1597.05	1739.42	1781.17	4091.19	3391.69	3196.39	3991.65	3391.84
KWMTBOMO01918.mrna1	1193.6	1866.41	880.44	1354.92	746.904	6189.07	6098.68	6107.52	1106.55	943.209	1044.19	2928.48	4396.74	3354.38	3526.06	4490.26
KWMTBOMO00974.mrna1	3197.36	3266.98	1820.32	2531.46	764.201	2378.57	2247.01	2285.16	1108.58	1266.18	1124.52	2667.54	2713.22	2383.06	2944.22	3510.48
KWMTBOMO15911.mrna1	2079.35	2447.41	1968.22	2536.64	4131.32	196.325	202.488	191.511	2111.79	1973.7	3828.63	3476.52	2078.02	4141.55	3393.38	2692.97
KWMTBOMO13859.mrna1	2596.43	2871.05	1907	2833.15	955.565	1053.54	1014.54	1014.53	1767.05	1859.74	1864.95	3239.81	3183.88	3172.77	3048.1	3282.05
KWMTBOMO09360.mrna1	2295.92	2362.35	1777.06	2658.8	1398.15	387.058	380.327	380.407	2134.36	2042.86	2101.62	4072.23	3426.95	3590.43	4008.74	4087.77
KWMTBOMO11021.mrna1	3126.66	2605.35	1849.24	2561.66	578.975	1700.12	1697.21	1715.99	1433.51	1550.11	1418.47	2821.63	2719.77	2554.33	2669.11	2961.19
KWMTBOMO11678.mrna1	2953.49	2565.04	1957.48	2354.48	1517.81	361.309	362.902	348.842	1777.42	1780	1765.34	3314.37	3051.17	2942.99	3139.3	3121.09
KWMTBOMO06633.mrna1	526.723	1185.93	3516.63	2526.78	1899.64	2418.6	2396.21	2400.53	18285.6	17911.2	13377.8	1904.68	950.214	927.715	580.697	494.973
KWMTBOMO03573.mrna1	79.9125	1593.31	4320.16	807.265	2245.3	3964.18	3855.6	3862.89	34223.9	31286.6	20200.7	4.03975	1.19723	0	1.41998	0.879707
KWMTBOMO01424.mrna1	1933.6	2002.79	1743.18	2159.4	1128.77	1207.77	1218.67	1230.33	1655.99	1664.04	1700.59	2963.68	2951.68	2672.61	3107.33	3006.47
KWMTBOMO13619.mrna1	876.436	665.221	1599.88	1586.84	2481	2353.19	2295.67	2311.47	653.355	705.923	1496.65	1919.19	3741.27	2694.02	843.167	1754.07
KWMTBOMO00339.mrna1	747.451	1900.97	945.377	1828.32	1456.08	1866.33	1826.26	1812.17	869.897	872.142	905.844	1584.81	1384.26	1425.58	1573.72	1558.53
KWMTBOMO03314.mrna1	1351.04	1203.94	976.993	1059.34	189.574	1442.38	1485.74	1505.89	1080.87	1212.66	1072.22	2277.83	2096.54	1880.72	1990.21	2417.09
KWMTBOMO03035.mrna1	1995.58	1366.81	3270.41	1837.95	329.833	945.787	959.693	969.899	7.99361	38.6636	23.0367	2580.16	2421.66	1367.88	2578.14	2145.75
KWMTBOMO07600.mrna1	1012.55	1218.83	713.102	659.732	512.174	2296.4	2288.64	2284.86	532.034	488.74	541.129	1405.58	2589.34	1831.41	1962.32	2629.55
KWMTBOMO14490.mrna1	75.1749	2366.38	6784.01	873.595	3277.79	1341.77	1300.84	1299.06	46012.1	33390.6	21489.8	5.34331	1.16416	0.277849	2.65956	0.911048
KWMTBOMO15407.mrna1	1758.56	1362.06	1592.93	1116.19	563.175	2117.99	2123.36	2110.06	401.934	440.463	513.553	1096.33	1273.53	1332.74	1313.5	1216.58
KWMTBOMO10049.mrna1	2417.61	2328.64	2006.05	2237.69	137.449	1636.44	1739.46	1737.73	627.383	737.158	737.199	1268.86	1289.91	1136.19	1230.01	1246.31
KWMTBOMO03043.mrna1	1780.67	1928.45	11839.4	6914.37	1548.8	74.5288	81.8855	78.2767	20266.9	21440.6	14081.9	916.05	69.5745	397.699	45.1918	7.87405
KWMTBOMO14958.mrna1	1394.17	1367.31	1158.23	1240.65	858.465	301.566	282.957	279.532	1109.79	1052.56	1189.89	2426.07	2666.74	2483.22	2821.49	2898.33
KWMTBOMO02638.mrna1	737.751	1313.3	835.599	1416.4	1140.07	315.231	327.992	315.448	858.856	953.437	1280.43	1721.93	1544.3	1951.34	1722.39	1700.62
KWMTBOMO13979.mrna1	1237.47	1447.04	1021.9	1502.84	633.026	538.797	525.699	528.054	1010.68	1050.52	1018.88	1983.73	1724.76	1684.04	1814.98	1942.44
KWMTBOMO06272.mrna1	85.0608	531.611	3450.19	1487.18	1225.11	1104.42	1094.43	1057.5	22744.9	21052.5	25473.9	15.0626	5.50189	3.86602	1.2223	0.277097
KWMTBOMO08642.mrna1	780.765	1036.47	997.23	1086.95	416.855	187.41	188.859	189.992	1666.5	1142.51	988.853	1043.09	1230.67	1164.63	1450.67	1250.44
KWMTBOMO04584.mrna1	2669.07	1640.25	1351.26	967.322	294.462	650.956	651.256	662.749	409.155	355.938	400.027	1092.73	1892.68	1384.27	1439.42	1924.34
KWMTBOMO05669.mrna1	1608.2	1110.98	1453.87	1064.21	509.252	2171.44	2207.41	2216.01	1097.61	974.494	834.614	695.634	855.795	767.55	752.45	958.348
KWMTBOMO03005.mrna1	844.375	1518.51	1135.84	1675.66	442.2	21.4395	22.0881	22.9947	649.167	639.134	739.124	1247.62	1281.1	1260.87	1176.69	1198.39
KWMTBOMO03034.mrna1	1873.12	1232.89	2879.42	1773.89	122.526	979.184	989.24	985.537	77.8651	157.445	69.9902	1266.22	811.762	557.556	1310.28	1048.3
KWMTBOMO10175.mrna1	956.869	1298.86	869.065	1350.44	1613.27	52.6602	55.8971	54.6211	428.093	486.731	930.08	953.21	1103.37	1521.3	1620.46	1288.95
KWMTBOMO01537.mrna1	584.28	1414.89	5770.37	4572.21	12696.8	934.721	939.209	961.144	25089.1	24996.4	19424.6	892.931	48.6424	232.604	16.8232	4.47653
KWMTBOMO12895.mrna1	1808.28	1725.27	855.589	1016.19	676.576	149.342	153.404	150.786	467.466	442.866	474.299	1226.35	2028.75	1659.43	1640.26	2420.69
KWMTBOMO03317.mrna1	933.553	1674.63	771.594	1470.25	775.467	93.2807	91.7476	79.6733	786.252	835.194	937.131	1891.64	1589.13	1713.7	1951.12	2060.96
KWMTBOMO02490.mrna1	1001.38	1010	889.302	899.879	707.125	807.354	800.127	790.35	725.023	656.665	889.646	1265.4	1245.63	1502.57	1586.62	1784.49
KWMTBOMO09832.mrna1	971.142	753.642	1575.1	966.587	389.334	381.177	398.697	399.885	26.6086	84.0047	76.2256	2080.21	2023.33	1884.42	2145.96	1964.33
KWMTBOMO11083.mrna1	2.13282	1553.16	136.233	1403.52	1671.16	0	0	0	577.085	481.365	675.554	1105.84	959.64	1206.37	981.901	1234.25
KWMTBOMO16087.mrna1	754.052	1748.96	798.525	1788.98	430.116	42.8142	44.5396	43.578	684.036	503.169	901.511	1791.94	785.439	1404.37	1907.75	1020.86
KWMTBOMO14351.mrna1	215.065	592.288	424.968	788.409	1348.91	110	55.1532	66.7833	1182.35	1082.49	1636.73	862.65	932.831	1157.57	668.924	780.698
KWMTBOMO01182.mrna1	636.794	897.099	642.02	845.007	991.853	696.288	680.41	678.401	707.265	664.422	638.439	986.888	1498.08	1071.02	1353.35	1629.51
KWMTBOMO02792.mrna1	444.611	504.097	2276.43	1840.53	354.697	45.2579	45.8215	45.7163	4149.26	4447.65	4718.51	2274.22	909.726	1397.2	636.742	389.671
KWMTBOMO09631.mrna1	1225.41	895.019	917.055	621.678	275.53	960.264	943.62	947.214	337.559	309.446	321.628	590.391	841.603	703.977	677.921	931.11
KWMTBOMO10381.mrna1	888.358	734.002	858.476	706.178	407.897	496.907	519.594	518.704	781.025	657.969	619.896	794.449	1104.81	836.123	854.021	1113.91
KWMTBOMO02241.mrna1	1407.08	864.274	1104.54	763.928	279.828	398.449	395.965	394.928	749.909	643.734	586.987	738.832	1114.42	797.922	932.917	1247.84
KWMTBOMO15198.mrna1	2777.77	2204.37	967.23	892.734	351.146	143.511	148.022	152.387	395.766	364.193	420.85	684.745	905.843	804.571	1081.61	1210.25
KWMTBOMO12810.mrna1	86.9504	939.39	3455.45	2029.99	2493.01	739.599	723.675	724.343	16558.5	16202	14242.3	47.8646	0.748554	0.881354	0.356173	0.200914
KWMTBOMO02431.mrna1	637.344	602.279	556.939	583.878	268.058	855.022	862.25	853.589	428.232	461.893	456.469	924.24	969.103	800.879	1037.5	999.38
KWMTBOMO14939.mrna1	570.728	558.543	423.903	460.015	378.902	931.243	901.747	930.658	431.909	457.337	448.629	838.936	909.367	849.574	1010.07	1035.75
KWMTBOMO02082.mrna1	381.572	1016.71	539.882	931.721	578.928	118.331	109.198	112.54	546.114	506.589	814.294	910.199	855.492	1165.72	1020.62	964.994
KWMTBOMO03173.mrna1	493.169	1097.93	867.496	1353.62	466.006	239.14	233.694	230.979	363.24	455.279	607.021	926.419	882.249	850.338	1224.3	741.204
KWMTBOMO11511.mrna1	729.271	584.019	1013.86	608.954	479.791	1307.82	1304.9	1304.1	1601.5	1263.29	918.628	344.218	487.918	336.59	544.344	554.94
KWMTBOMO07485.mrna1	646.521	846.768	687.123	803.77	299.427	142.755	141.419	146.417	370.368	388.407	460.459	845.938	753.685	768.763	877.289	755.324
KWMTBOMO13597.mrna1	1158.88	658.2	650.389	458.422	399.097	910.776	928.165	944.178	407.422	378.435	349.693	528.025	826.287	673.676	704.59	1118.37
KWMTBOMO16456.mrna1	150.401	175.384	739.609	778.033	705.609	343.527	338.77	341.295	708.323	940.82	583.127	1527.27	1971.53	1076.72	349.47	621.996
KWMTBOMO10009.mrna1	737.235	531.452	2682.45	2056.64	201.899	138.554	144.354	141.15	185.311	433.705	263.546	2087.43	1568.31	1049.73	1202.52	777.248
KWMTBOMO02540.mrna1	440.004	652.417	474.547	607.741	5165.32	0	0	0	457.166	563.873	888.924	789.511	1737.41	2080.96	1188.57	2198.19
KWMTBOMO00789.mrna1	652.651	648.305	605.189	652.709	385.178	130.316	118.454	116.196	411.662	452.577	492.324	974.608	1005.18	917.889	988.138	1087.3
KWMTBOMO10128.mrna1	709.893	782.333	518.614	689.091	424.58	528.722	546.288	525.977	561.376	559.041	548.261	960.573	1074.89	929	1030.2	1190.17
KWMTBOMO05566.mrna1	577.361	1085.12	837.983	1081.99	232.649	197.761	180.94	177.786	340.471	338.221	482.761	862.203	672.514	813.55	879.229	748.514
KWMTBOMO11772.mrna1	1112.62	629.793	953.934	673.696	99.7222	952.83	997.342	981.023	531.025	477.977	397.182	534.682	678.726	539.845	589.226	591.203
KWMTBOMO06258.mrna1	632.882	634.887	713.309	583.651	417.821	356.702	359.97	371.858	423.914	491.185	521.026	897.024	841.721	847.922	811.236	683.972
KWMTBOMO04642.mrna1	3283.82	1531.48	1400.53	799.762	0	181.62	130.267	196.501	913.694	1169.45	818.171	356.194	212.687	580.071	186.845	617.686
KWMTBOMO07857.mrna1	247.531	604.263	219.916	551.514	791.961	473.779	411.353	407.79	589.905	538.425	1401.32	936.564	1181.59	2089.88	1312.89	1545.32
